"","logFC","logCPM","PValue","FDR"
"YHR215W",4.92705992309244,7.70543826324823,2.05868449091097e-169,1.21812361327202e-165
"YGR234W",4.00495985336263,8.27155543104888,5.38232374998157e-147,1.59236048143205e-143
"YER081W",-3.38010006996976,9.2064424036692,5.571053270077e-143,1.09879740663485e-139
"YML123C",4.47989020285321,9.06978634922951,1.7932186245207e-140,2.65261865032224e-137
"YOR290C",9.04076889794484,6.32143491962362,9.70734088557202e-127,1.14876672039859e-123
"YDR033W",3.43281031832003,8.6975561012109,9.19326149716926e-95,9.06608804645842e-92
"YIL169C",2.91255461917468,7.55383092250834,7.17791125203583e-80,6.06738583975658e-77
"YER011W",4.23541941845356,7.44594847310762,2.55901827830021e-76,1.89271389408779e-73
"YDR077W",3.39299083597258,11.3761560773094,4.31585203128668e-67,2.8374329410137e-64
"YDR365W-B",2.06663223557784,10.2064347798487,8.44880566125629e-64,4.99915830976535e-61
"YBR092C",2.56479121832408,6.9417715143781,1.14462109761071e-63,6.15702094051143e-61
"YIL121W",2.74194558782357,6.50254041200601,5.31780125410931e-63,2.6221191683804e-60
"YAR009C",2.7307871270011,9.24474183484378,6.51463879203423e-62,2.96516290249742e-59
"YFR015C",2.76069545512938,9.20141894868983,6.02784936452163e-60,2.54762747784818e-57
"YBR067C",2.6165838336264,8.65795423934644,6.80499373929889e-59,2.68434319702877e-56
"YOR153W",2.39718898878574,9.60172562355131,1.11773850652446e-57,4.13353671444078e-55
"YHR136C",4.32776500132162,5.27862700789674,3.15946986317574e-52,1.09968136355358e-49
"YPR149W",1.79939638149919,8.13052980616397,5.56353497400124e-52,1.82885758006474e-49
"YJR029W",3.00486734345554,9.22395214137863,5.81167114433221e-51,1.80987674531651e-48
"YER138C",2.61913293805702,9.8698730869242,1.81908566206455e-44,5.38176493121798e-42
"YHR092C",2.06491480194749,9.80206981195159,4.12486561533496e-44,1.16222999266366e-41
"YNL284C-A",-5.42398541648418,4.76330152055087,4.77569063985833e-43,1.28444370527462e-40
"YLR157C-A",-8.9323613878188,4.58955216541789,1.70724270637049e-41,4.16210172004305e-39
"YPL257W-A",-8.93235716252806,4.58955216541789,1.75384365936447e-41,4.16210172004305e-39
"YER137C-A",-8.93235674345305,4.58955216541789,1.75853545717553e-41,4.16210172004305e-39
"YDR365W-A",-8.93234915802485,4.58955216541789,1.8456954462974e-41,4.20037690605451e-39
"YPL019C",2.04460251967875,7.81451942981406,1.88220660908977e-39,4.12482092814228e-37
"YHL047C",1.57888346775244,7.5965237352841,3.49676855438753e-38,7.38942126296822e-36
"YMR056C",-2.13825383379819,6.03778727866441,1.80408117000805e-37,3.68094768377159e-35
"YLR413W",2.09596812116842,8.07731487698547,3.09410729991347e-37,6.10261096452934e-35
"YDR406W",1.60896615435372,7.36834229918634,5.23853683298526e-37,9.9988459486367e-35
"YNL160W",2.34654224832913,6.92836671823529,3.90171273452366e-35,7.21451070318015e-33
"YCR021C",2.17057877459796,6.13172902491361,9.38357662809772e-35,1.68250372449861e-32
"YJL077C",-2.17480728664677,5.70853782663132,1.08835793035696e-34,1.89406290409474e-32
